TaskCode	Week	Task	Task Duration	Week Completion date	Who	Responsible	Task Start Date	Task End Date	Training Type
WM5T01	Week -5	Check if the cohort for the edition exists and if not create it	0:10:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	0	6	GLR
WM5T02	Week -5	Create mailing list (names; groups information; schedule; edition)	0:10:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	0	6	GLR
WM5T03	Week -5	Copy course's path and update exam and assignments dates and configure cohorts	0:15:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	0	6	GLR
WM5T04	Week -5	Trainers should send changes in the e-learning assignment to Training Team	0:01:00		Trainers	"Joaquim Matos \ Jorge Neto
Pedro Tinoco
Micael Queiroz \ 
Miguel\ Afonso\ Telmo\ Luis"	0	6	GLR
WM4T01	Week -4	Send welcome to e-learning email	0:10		Organizer	Miguel\ Afonso\ Telmo\ Luis	7	13	GLR
WM3T01	Week -3	Send welcome to e-learning email	0:10		Organizer	Miguel\ Afonso\ Telmo\ Luis	14	20	GLR
WM3T02	Week -3	Request Marketing team to remove schedule from CM site	0:01:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	14	20	GLR
WM2T01	Week -2	Include links of the exam, mailing and edition folder to trainers	0:10		Organizer	Miguel\ Afonso\ Telmo\ Luis	21	27	GLR
WM2T02	Week -2	Send mail announcing start of the e-learning stage with Q&A sessions	0:10		Organizer	Miguel\ Afonso\ Telmo\ Luis	21	27	GLR
WM2T03	Week -2	Send Elearning Q&A Session invites	0:10		Organizer	Miguel\ Afonso\ Telmo\ Luis	21	27	GLR
WM1T01	Week -1	Update mailing list (names; groups information; schedule; edition)	0:10		Organizer	Miguel\ Afonso\ Telmo\ Luis	28	34	GLR
WM1T02	Week -1	Verify if the e-learning group elements are correct	0:10		Organizer	Miguel\ Afonso\ Telmo\ Luis	28	34	GLR
W1T01	Week 1	Q&A 1 - e-learning	2:15	Inflexible	E-learning Q&A	"Luis Pereira
Miguel\ Afonso"	35	37	GLR
W2T01	Week 2	Q&A 2 - e-learning	2:15	Inflexible	E-learning Q&A	"Luis Pereira
Miguel\ Afonso"	42	44	GLR
W2T02	Week 2	Trainers should send changes in the final exam (2 weeks)	0:01:00		Trainers	"Joaquim Matos \ Jorge Neto
Pedro Tinoco
Micael Queiroz \ 
Miguel\ Afonso\ Telmo\ Luis"	42	48	GLR
W2T03	Week 2	Send mailing survey of the e-learning stage	0:15:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	42	48	GLR
W3T01	Week 3	Finish Hands-on access exam evaluation	0:01:00	Inflexible	Trainers	"Joaquim Matos \ Jorge Neto
Pedro Tinoco
Micael Queiroz \ 
Miguel\ Afonso\ Telmo\ Luis"	49	55	GLR
W3T02	Week 3	Update mailing list with grades (HAE)	0:20	Inflexible	Organizer	Miguel\ Afonso\ Telmo\ Luis	49	55	GLR
W3T03	Week 3	Send grades email (and report to managers)	0:10	Inflexible	Organizer	Miguel\ Afonso\ Telmo\ Luis	49	55	GLR
W3T04	Week 3	Send mail announcing start of the hands-on stage with Q&A sessions	0:10	Inflexible	Organizer	Miguel\ Afonso\ Telmo\ Luis	49	55	GLR
W3T05	Week 3	Schedule Hands-on sessions - schedule invitation	0:20	Inflexible	Organizer	Miguel\ Afonso\ Telmo\ Luis	49	55	GLR
W3T06	Week 3	Assign the hands-on courses and set the 'Hands-on' grade as approved, enabling access to the next stage on the e-learning platform and to the next stage assignments.	0:15:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	49	55	GLR
W4T01	Week 4	Hands-on Welcome session	1:15	Inflexible	Organizer	Miguel\ Afonso\ Telmo\ Luis	56	56	GLR
W4T02	Week 4	Q&A 1 - Hands-on	2:15	Inflexible	Hands-on Q&A	"Luis Pereira
Micael Queiroz
Telmo Silva\ Afonso"	56	59	GLR
W4T03	Week 4	Send changes in the Final exam to Training Team - until the end of the week	0:01:00		Trainers	"Joaquim Matos \ Jorge Neto
Pedro Tinoco
Micael Queiroz \ 
Miguel\ Afonso\ Telmo\ Luis"	56	62	GLR
W5T01	Week 5	Q&A 2 - Hands-on	2:15	Inflexible	Hands-on Q&A	"Luis Pereira
Micael Queiroz
Telmo Silva\ Afonso"	63	64	GLR
W5T02	Week 5	Q&A 3 - Hands-on	2:15	Inflexible	Hands-on Q&A	"Luis Pereira
Micael Queiroz
Telmo Silva\ Afonso"	63	66	GLR
W5T03	Week 5	Platform Engineering reset training environments next week (alert)	0:01:00	Inflexible	Enviroment	Platform Engineering 	63	69	GLR
W5T04	Week 5	Mailing survey Hands-on stage & Download previous edition surveys	0:15:00	inflexible	Organizer	Miguel\ Afonso\ Telmo\ Luis	63	69	GLR
W5T05	Week 5	Send exam information to trainees	0:10:00	Inflexible	Organizer	Miguel\ Afonso\ Telmo\ Luis	63	69	GLR
W5T06	Week 5	Send VM's and practice exam information for Administrators	0:10:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	63	69	GLR
W6T01	Week 6	Reset training environments for exam (upload Master Data)	0:01:00	Inflexible	Enviroment	Platform Engineering 	70	76	GLR
W6T02	Week 6	Send Modelers environment information - after Platform Engineering it is ok and Training teams checked the environments	0:10:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	70	76	GLR
W6T03	Week 6	Request Platform Engineering  to remove cloud environment and delete training Boxs	0:05:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	70	76	GLR
W7T01	Week 7	Final exam evaluation	0:01:00	Inflexible	Trainers	"Joaquim Matos \ Jorge Neto
Pedro Tinoco
Micael Queiroz \ 
Miguel\ Afonso\ Telmo\ Luis"	77	83	GLR
W8T01	Week 8	Update mailing list with grades (Final exam)	0:15:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	84	90	GLR
W8T02	Week 8	Send grades by email (and report to managers)	0:10:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	84	90	GLR
W8T04	Week 8	Issue badges	0:20:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	84	90	GLR
W8T05	Week 8	Download survey	0:10:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	84	90	GLR
SLW1T01	Week 1	Check if the cohort for the edition exists and if not create it	0:10:00		Organizer	Miguel\ Afonso\ Telmo\ Luis	0	4	SLR
